user_input,granite328-RSS,granite328-ECS,llama318-RSS,llama318-ECS,mixtral8x7-RSS,mixtral8x7-ECS,llama3370-RSS,llama3370-ECS
Show me the hospital with the highest patient satisfaction score.,0.375,0.8824,0.5556,0.9147,0.375,0.8824,0.5,0.9146
List all clinics with at least 20 medications administered daily on average.,0.5714,0.9799,0.4,0.9617,0.7143,0.9852,0.5714,0.9653
Show all hospitals with more than 100 consultations daily on average.,0.625,0.988,0.5556,0.9544,0.5,0.9768,0.625,0.988
Which hospital has the highest successful surgery rate?,0.75,0.9123,0.5556,0.8916,0.375,0.8673,0.4444,0.8716
Show me clinics with an average of at least 10 discharges daily.,0.7143,0.9791,0.4167,0.9414,0.5556,0.9608,0.7143,0.9791
List all hospitals with an infection prevention rate above 95%.,0.3333,0.9448,0.4545,0.9464,0.4286,0.9656,0.625,0.9783
Find all clinics with a daily admission rate above 50 patients.,0.5714,0.9637,0.5455,0.9782,0.2222,0.8917,0.7143,0.971
Which hospitals have the lowest medication error rates?,0.375,0.9071,0.25,0.857,0.25,0.9016,0.2857,0.9208
List hospitals with an average of more than 30 surgeries daily.,0.2727,0.8475,0.4545,0.9385,0.5,0.9546,0.625,0.9779
Show clinics with a patient recovery rate of 80% or higher.,0.5714,0.9801,0.5455,0.9626,0.4444,0.9388,0.7143,0.9819
Find the hospital with the highest patient satisfaction score in 2022.,0.625,0.9358,0.5556,0.9304,0.625,0.9159,0.4,0.9184
Show me the clinics with the best infection prevention rates.,0.3333,0.8369,0.3333,0.831,0.4286,0.8546,0.3333,0.8637
Which clinics have the highest average daily admissions?,0.5714,0.9059,0.3333,0.8479,0.5,0.8728,0.4286,0.9009
Show hospitals with a patient recovery rate of 90% or higher in 2023.,0.625,0.9929,0.5455,0.9719,0.7143,0.9925,0.75,0.9928
List all hospitals with a medication error rate below 5%.,0.4444,0.9465,0.4545,0.9563,0.5714,0.9794,0.625,0.9766
Which clinics performed the most surgeries in 2023?,0.5,0.9078,0.2222,0.8377,0.4286,0.8679,0.3333,0.8737
Find hospitals with a daily average of more than 5 successful surgeries.,0.5714,0.9566,0.4167,0.9426,0.5,0.9409,0.5,0.9703
Show clinics with more than 200 daily consultations on average.,0.5714,0.9562,0.4167,0.9322,0.7143,0.9782,0.5714,0.9562
Find the hospital with the highest average daily discharges.,0.625,0.9484,0.4444,0.9199,0.5,0.9451,0.5714,0.9331
Which hospital had the most daily admissions in 2022?,0.6667,0.9584,0.5556,0.9453,0.5,0.9296,0.5,0.9503
Show me the clinic with the lowest medication error rate in 2023.,0.4444,0.8174,0.5556,0.8748,0.5714,0.9234,0.625,0.9456
Find clinics with a successful surgery rate above 80%.,0.5714,0.9703,0.25,0.7769,0.5714,0.9539,0.7143,0.9731
